Date,Cumulative Return
2024-01-02,1.0062344662717821
2024-01-03,0.9999438817498126
2024-01-04,1.0027697001275853
2024-01-05,1.017044549790602
2024-01-08,1.0376840425850906
2024-01-09,1.047735941430611
2024-01-10,1.0571630393617704
2024-01-11,1.0614537336985281
2024-01-12,1.0536166646030085
2024-01-16,1.0352330266730037
2024-01-17,1.0129302179416966
2024-01-18,1.038254366594714
2024-01-19,1.0615125622755563
2024-01-22,1.08067594170377
2024-01-23,1.0983873258799672
2024-01-24,1.0867376597925191
2024-01-25,1.08258264808771
2024-01-26,1.0816673343588492
2024-01-29,1.0844413590509483
2024-01-30,1.088276264385778
2024-01-31,1.0501291324169237
2024-02-01,1.0608147376257435
2024-02-02,1.068261489341275
2024-02-05,1.089088513352206
2024-02-06,1.101270739814767
2024-02-07,1.1093172796026733
2024-02-08,1.113625581729956
2024-02-09,1.1154132752542603
2024-02-12,1.1008962948124261
2024-02-13,1.05340830594292
2024-02-14,1.0849422332291716
2024-02-15,1.0914974960972421
2024-02-16,1.0877950746181915
2024-02-20,1.065605836912868
2024-02-21,1.0682360828719317
2024-02-22,1.0937158858627283
2024-02-23,1.1127494902120587
2024-02-26,1.1179883481966955
2024-02-27,1.1294476049355728
2024-02-28,1.117925330177889
2024-02-29,1.130387238247272
2024-03-01,1.1372353352787117
2024-03-04,1.1376295232200024
2024-03-05,1.103437604074734
2024-03-06,1.1051716619993528
2024-03-07,1.1157505056425363
2024-03-08,1.0940608327126387
2024-03-11,1.098277127574589
2024-03-12,1.1339187215658706
2024-03-13,1.1325472059774242
2024-03-14,1.1172102803028499
2024-03-15,1.098838539990095
2024-03-18,1.1147108112742077
2024-03-19,1.1328007896994308
2024-03-20,1.1507904336586905
2024-03-21,1.1576013836526249
2024-03-22,1.1550037430323865
2024-03-25,1.154508416374739
2024-03-26,1.1557034992907933
2024-03-27,1.169408259586096
2024-03-28,1.159321739540851
2024-04-01,1.152592049578454
2024-04-02,1.134089676129206
2024-04-03,1.1391030373565958
2024-04-04,1.1036078449613385
2024-04-05,1.099417380414586
2024-04-08,1.1208693760202382
2024-04-09,1.1270139927589118
2024-04-10,1.1103322579444794
2024-04-11,1.1298473858625784
2024-04-12,1.071181757726575
2024-04-15,1.032602591230617
2024-04-16,1.050184947004747
2024-04-17,1.0492849502036616
2024-04-18,1.0440912429144928
2024-04-19,1.0176719313916915
2024-04-22,1.0616191607631127
2024-04-23,1.0899730033540866
2024-04-24,1.0971609870856571
2024-04-25,1.0827139301227948
2024-04-26,1.1069416605466473
2024-04-29,1.1186565912115927
2024-04-30,1.0903955352527859
2024-05-01,1.0830743385514956
2024-05-02,1.107727626083276
2024-05-03,1.1384710853199325
2024-05-06,1.1617233044011135
2024-05-07,1.1611193959450057
2024-05-08,1.1677744923506514
2024-05-09,1.1713136224314113
2024-05-10,1.181017682582
2024-05-13,1.1763059103307327
2024-05-14,1.1900778684742168
2024-05-15,1.2239483391318313
2024-05-16,1.222867635162286
2024-05-17,1.2303747851711615
2024-05-20,1.2339664720880497
2024-05-21,1.245463280193581
2024-05-22,1.2322230387843192
2024-05-23,1.2194989759471673
2024-05-24,1.2424926692310903
2024-05-28,1.2312579552937635
2024-05-29,1.2035307906362622
2024-05-30,1.1966585661326563
2024-05-31,1.2160353325921454
2024-06-03,1.2216321166018007
2024-06-04,1.2197122453901144
2024-06-05,1.2424700064461147
2024-06-06,1.2448298294459779
2024-06-07,1.2516965636110713
2024-06-10,1.2553881856083178
2024-06-11,1.2615277555041873
2024-06-12,1.2839177280266714
2024-06-13,1.2893188172495311
2024-06-14,1.270815624644093
2024-06-17,1.279862782761318
2024-06-18,1.2840738735951207
2024-06-20,1.2547048470584732
2024-06-21,1.2671149206984091
2024-06-24,1.2619087465511538
2024-06-25,1.2810823900772916
2024-06-26,1.2884201167669507
2024-06-27,1.2935191693247932
2024-06-28,1.2850160695510284
2024-07-01,1.3139665785193386
2024-07-02,1.3263108457907309
2024-07-03,1.3294584244354255
2024-07-05,1.3310922137060246
2024-07-08,1.345799856273123
2024-07-09,1.343966709039828
2024-07-10,1.3533307377631647
2024-07-11,1.3357648554850001
2024-07-12,1.3522270002415577
2024-07-15,1.343822776218772
2024-07-16,1.3373967913442264
2024-07-17,1.2956694561791948
2024-07-18,1.2747695564494645
2024-07-19,1.2405758743433264
2024-07-22,1.2842253346731618
2024-07-23,1.2874249092982344
2024-07-24,1.1776159710366796
2024-07-25,1.1672100435535255
2024-07-26,1.2069804817136514
2024-07-29,1.2176077346642864
2024-07-30,1.1882433635050231
2024-07-31,1.221167168730783
2024-08-01,1.1482635052750663
2024-08-02,1.0481613416642734
2024-08-05,0.9532492922811762
2024-08-06,1.0502713141393372
2024-08-07,1.0551753601682576
2024-08-08,1.1138751288238877
2024-08-09,1.1839891281274735
2024-08-12,1.1973386070709728
2024-08-13,1.2599417570894862
2024-08-14,1.3028842591024663
2024-08-15,1.3440689712020348
2024-08-16,1.3466727650407262
2024-08-19,1.3678012093728698
2024-08-20,1.3392582716484995
2024-08-21,1.332086449164011
2024-08-22,1.292669927903121
2024-08-23,1.3398287525972925
2024-08-26,1.3342614602300988
2024-08-27,1.3500782510532714
2024-08-28,1.3037420375907771
2024-08-29,1.324275549060655
2024-08-30,1.3520945625698433
2024-09-03,1.22734425526356
2024-09-04,1.2094452233550255
2024-09-05,1.2389543995776526
2024-09-06,1.1781191262684207
2024-09-09,1.224747875598421
2024-09-10,1.2420180364653672
2024-09-11,1.2834380265635303
2024-09-12,1.2941937582701815
